dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
283996800,1979-01-01 00:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,280.99,275.62,279.566,281.45,1021,,,13,2.6,180,,,,,1,800,Clear,sky is clear,01d
284000400,1979-01-01 01:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,281.06,275.7,280.298,281.45,1021,,,13,2.6,180,,,,,1,800,Clear,sky is clear,01n
284004000,1979-01-01 02:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,277.8,272.64,275.35,280.803,1021,,,36,3.1,220,,,,,1,800,Clear,sky is clear,01n
284007600,1979-01-01 03:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,274.61,269.25,272.138,275.35,1022,,,36,3.1,220,,,,,1,800,Clear,sky is clear,01n
284011200,1979-01-01 04:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,274.25,268.87,271.25,275.35,1022,,,36,3.1,220,,,,,1,800,Clear,sky is clear,01n
284014800,1979-01-01 05:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,272.61,266.59,270.817,274.722,1024,,,44,4.1,240,,,,,1,800,Clear,sky is clear,01n
284018400,1979-01-01 06:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,272.67,266.66,270.892,274.978,1024,,,44,4.1,240,,,,,1,800,Clear,sky is clear,01n
284022000,1979-01-01 07:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,272.53,267.9,271.208,275.288,1026,,,48,2.22,322,,,,,1,800,Clear,sky is clear,01n
284025600,1979-01-01 08:00:00 +0000 UTC,-28800,Las Vegas,36.169941,-115.13983,272.72,267.94,271.602,275.585,1026,,,48,2.45,330,,,,,1,800,Clear,sky is clear,01n
